tensor(3323.2439, grad_fn=<MseLossBackward>)
tensor(161.8392, grad_fn=<MseLossBackward>)
tensor(990.4843, grad_fn=<MseLossBackward>)
tensor(2288.1011, grad_fn=<MseLossBackward>)
tensor(59.1117, grad_fn=<MseLossBackward>)
tensor(1446.1912, grad_fn=<MseLossBackward>)
tensor(315.0022, grad_fn=<MseLossBackward>)
tensor(285.7487, grad_fn=<MseLossBackward>)
tensor(1929.8877, grad_fn=<MseLossBackward>)
tensor(938.8125, grad_fn=<MseLossBackward>)
tensor(3302.9778, grad_fn=<MseLossBackward>)
tensor(1222.4220, grad_fn=<MseLossBackward>)
tensor(1062.8707, grad_fn=<MseLossBackward>)
tensor(1348.8021, grad_fn=<MseLossBackward>)
tensor(1031.5508, grad_fn=<MseLossBackward>)
tensor(3783.2266, grad_fn=<MseLossBackward>)
tensor(1881.2151, grad_fn=<MseLossBackward>)
tensor(654.3080, grad_fn=<MseLossBackward>)
tensor(1024.0032, grad_fn=<MseLossBackward>)
tensor(3372.1284, grad_fn=<MseLossBackward>)
tensor(169.4545, grad_fn=<MseLossBackward>)
tensor(2425.8745, grad_fn=<MseLossBackward>)
tensor(1231.4531, grad_fn=<MseLossBackward>)
tensor(346.9659, grad_fn=<MseLossBackward>)
tensor(614.9756, grad_fn=<MseLossBackward>)
tensor(542.2465, grad_fn=<MseLossBackward>)
tensor(619.9479, grad_fn=<MseLossBackward>)
tensor(1246.6586, grad_fn=<MseLossBackward>)
tensor(3760.1702, grad_fn=<MseLossBackward>)
tensor(546.3660, grad_fn=<MseLossBackward>)
tensor(1121.5298, grad_fn=<MseLossBackward>)
tensor(837.2548, grad_fn=<MseLossBackward>)
tensor(1043.8170, grad_fn=<MseLossBackward>)
tensor(1153.6364, grad_fn=<MseLossBackward>)
tensor(3857.9329, grad_fn=<MseLossBackward>)
tensor(3297.1326, grad_fn=<MseLossBackward>)
tensor(1102.2894, grad_fn=<MseLossBackward>)
tensor(1747.3427, grad_fn=<MseLossBackward>)
tensor(839.8322, grad_fn=<MseLossBackward>)
tensor(894.7738, grad_fn=<MseLossBackward>)
tensor(1931.4083, grad_fn=<MseLossBackward>)
tensor(895.5566, grad_fn=<MseLossBackward>)
tensor(805.4589, grad_fn=<MseLossBackward>)
tensor(2963.0464, grad_fn=<MseLossBackward>)
tensor(2580.2458, grad_fn=<MseLossBackward>)
tensor(1255.9183, grad_fn=<MseLossBackward>)
tensor(1715.6868, grad_fn=<MseLossBackward>)
tensor(910.6866, grad_fn=<MseLossBackward>)
tensor(868.7828, grad_fn=<MseLossBackward>)
